,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Barcelona,1,56,21,18,2,1,43,7,36,1,26,10,8,2,0,22,1,21,1,30,11,10,0,1,21,6,15
Real Madrid,2,48,21,15,3,3,44,17,27,2,24,10,7,3,0,22,7,15,3,24,11,8,0,3,22,10,12
Real Sociedad,3,42,21,13,3,5,31,21,10,11,17,10,5,2,3,12,11,1,2,25,11,8,1,2,19,10,9
"Atl&eacute;tico Madrid",4,38,21,11,5,5,30,17,13,13,15,10,4,3,3,15,10,5,4,23,11,7,2,2,15,7,8
Betis,5,34,21,10,4,7,27,22,5,8,17,10,5,2,3,16,11,5,5,17,11,5,2,4,11,11,0
Rayo Vallecano,6,33,21,9,6,6,28,23,5,9,17,10,5,2,3,15,11,4,6,16,11,4,4,3,13,12,1
Athletic,7,32,21,9,5,7,31,22,9,3,20,11,6,2,3,16,7,9,7,12,10,3,3,4,15,15,0
Villarreal,8,31,21,9,4,8,22,18,4,4,19,10,6,1,3,14,8,6,8,12,11,3,3,5,8,10,-2
Osasuna,9,30,21,8,6,7,19,19,0,6,18,10,6,0,4,12,9,3,9,12,11,2,6,3,7,10,-3
Mallorca,10,28,21,8,4,9,16,20,-4,10,17,10,5,2,3,8,6,2,11,11,11,3,2,6,8,14,-6
Girona,11,24,21,6,6,9,27,31,-4,7,18,11,5,3,3,17,15,2,17,6,10,1,3,6,10,16,-6
Sevilla,12,24,21,6,6,9,23,29,-6,14,15,11,4,3,4,12,12,0,13,9,10,2,3,5,11,17,-6
Valladolid,13,24,21,7,3,11,15,28,-13,12,17,11,5,2,4,9,9,0,16,7,10,2,1,7,6,19,-13
Celta Vigo,14,23,21,6,5,10,22,33,-11,17,13,11,3,4,4,13,14,-1,12,10,10,3,1,6,9,19,-10
"Almer&iacute;a",15,22,21,6,4,11,25,34,-9,5,19,11,6,1,4,19,15,4,19,3,10,0,3,7,6,19,-13
Cadiz,16,22,21,5,7,9,17,33,-16,16,14,11,3,5,3,11,15,-4,15,8,10,2,2,6,6,18,-12
Espanyol,17,21,21,4,9,8,26,33,-7,19,10,11,2,4,5,14,19,-5,10,11,10,2,5,3,12,14,-2
Valencia,18,20,21,5,5,11,26,26,0,15,14,11,4,2,5,18,12,6,18,6,10,1,3,6,8,14,-6
Getafe,19,19,21,4,7,10,18,28,-10,18,10,11,2,4,5,10,14,-4,14,9,10,2,3,5,8,14,-6
Elche,20,9,21,1,6,14,15,44,-29,20,6,10,1,3,6,8,16,-8,20,3,11,0,3,8,7,28,-21
