,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Barcelona,1,68,26,22,2,2,49,9,40,1,35,13,11,2,0,27,2,25,1,33,13,11,0,2,22,7,15
Real Madrid,2,56,26,17,5,4,51,21,30,2,28,12,8,4,0,26,9,17,2,28,14,9,1,4,25,12,13
"Atl&eacute;tico Madrid",3,51,26,15,6,5,42,19,23,3,24,13,7,3,3,25,11,14,3,27,13,8,3,2,17,8,9
Real Sociedad,4,48,26,14,6,6,35,24,11,7,22,13,6,4,3,15,12,3,4,26,13,8,2,3,20,12,8
Betis,5,45,26,13,6,7,34,26,8,4,24,13,7,3,3,19,12,7,5,21,13,6,3,4,15,14,1
Villarreal,6,41,26,12,5,9,32,24,8,5,23,12,7,2,3,17,10,7,6,18,14,5,3,6,15,14,1
Athletic,7,36,26,10,6,10,36,28,8,11,20,13,6,2,5,18,11,7,7,16,13,4,4,5,18,17,1
Rayo Vallecano,8,36,26,9,9,8,31,30,1,12,20,13,5,5,3,18,14,4,8,16,13,4,4,5,13,16,-3
Osasuna,9,34,26,9,7,10,22,27,-5,16,19,13,6,1,6,12,14,-2,9,15,13,3,6,4,10,13,-3
Celta Vigo,10,34,26,9,7,10,32,35,-3,14,19,13,5,4,4,19,14,5,10,15,13,4,3,6,13,21,-8
Mallorca,11,32,26,9,5,12,22,27,-5,9,21,13,6,3,4,13,10,3,12,11,13,3,2,8,9,17,-8
Girona,12,31,26,8,7,11,40,41,-1,8,21,13,6,3,4,23,18,5,13,10,13,2,4,7,17,23,-6
Getafe,13,29,26,7,8,11,27,34,-7,15,19,14,5,4,5,16,16,0,14,10,12,2,4,6,11,18,-7
Sevilla,14,28,26,7,7,12,29,42,-13,17,18,13,5,3,5,16,16,0,15,10,13,2,4,7,13,26,-13
Cadiz,15,28,26,6,10,10,21,38,-17,18,18,13,4,6,3,14,17,-3,16,10,13,2,4,7,7,21,-14
Valladolid,16,28,26,8,4,14,20,38,-18,13,20,13,6,2,5,12,13,-1,17,8,13,2,2,9,8,25,-17
Espanyol,17,27,26,6,9,11,32,42,-10,19,13,13,3,4,6,17,23,-6,11,14,13,3,5,5,15,19,-4
Valencia,18,26,26,7,5,14,28,31,-3,10,20,13,6,2,5,20,12,8,18,6,13,1,3,9,8,19,-11
"Almer&iacute;a",19,26,26,7,5,14,30,45,-15,6,23,14,7,2,5,21,18,3,20,3,12,0,3,9,9,27,-18
Elche,20,13,26,2,7,17,19,51,-32,20,7,13,1,4,8,11,21,-10,19,6,13,1,3,9,8,30,-22
