,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Napoli,1,71,27,23,2,2,64,16,48,1,34,13,11,1,1,33,9,24,1,37,14,12,1,1,31,7,24
Lazio,2,52,27,15,7,5,42,19,23,5,27,14,8,3,3,23,12,11,2,25,13,7,4,2,19,7,12
Inter Milan,3,50,27,16,2,9,47,31,16,3,33,14,11,0,3,27,7,20,9,17,13,5,2,6,20,24,-4
AC Milan,4,48,27,14,6,7,44,36,8,4,29,13,9,2,2,28,17,11,7,19,14,5,4,5,16,19,-3
Roma,5,47,27,14,5,8,35,26,9,6,25,13,8,1,4,17,9,8,5,22,14,6,4,4,18,17,1
Atalanta,6,45,27,13,6,8,44,31,13,9,21,13,6,3,4,24,16,8,3,24,14,7,3,4,20,15,5
Juventus,7,41,27,17,5,5,45,22,23,2,33,14,10,3,1,33,12,21,4,23,13,7,2,4,12,10,2
Udinese,8,38,27,9,11,7,37,31,6,11,19,13,4,7,2,22,15,7,6,19,14,5,4,5,15,16,-1
Fiorentina,9,37,27,10,7,10,32,31,1,8,22,14,6,4,4,19,19,0,11,15,13,4,3,6,13,12,1
Bologna,10,37,27,10,7,10,33,36,-3,7,23,14,6,5,3,17,10,7,14,14,13,4,2,7,16,26,-10
Torino,11,37,27,10,7,10,29,33,-4,12,19,13,5,4,4,11,12,-1,8,18,14,5,3,6,18,21,-3
Sassuolo,12,36,27,10,6,11,35,40,-5,10,20,13,6,2,5,17,15,2,10,16,14,4,4,6,18,25,-7
Monza,13,34,27,9,7,11,32,37,-5,13,19,14,5,4,5,19,16,3,12,15,13,4,3,6,13,21,-8
Empoli,14,28,27,6,10,11,24,36,-12,14,16,13,4,4,5,12,15,-3,15,12,14,2,6,6,12,21,-9
Lecce,15,27,27,6,9,12,24,32,-8,18,12,13,2,6,5,13,17,-4,13,15,14,4,3,7,11,15,-4
Salernitana,16,27,27,6,9,12,31,47,-16,15,16,14,4,4,6,19,20,-1,16,11,13,2,5,6,12,27,-15
Spezia,17,24,27,5,9,13,23,43,-20,16,16,14,3,7,4,15,20,-5,18,8,13,2,2,9,8,23,-15
Verona,18,19,27,4,7,16,22,41,-19,17,14,14,4,2,8,15,22,-7,20,5,13,0,5,8,7,19,-12
Sampdoria,19,15,27,3,6,18,16,44,-28,19,7,14,1,4,9,6,19,-13,17,8,13,2,2,9,10,25,-15
Cremonese,20,13,27,1,10,16,22,49,-27,20,6,13,1,3,9,7,22,-15,19,7,14,0,7,7,15,27,-12
