,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Bayern Munich,1,43,20,12,7,1,59,18,41,4,22,10,6,4,0,31,8,23,1,21,10,6,3,1,28,10,18
Union Berlin,2,42,20,13,3,4,35,24,11,2,23,9,7,2,0,19,8,11,2,19,11,6,1,4,16,16,0
Borussia Dortmund,3,40,20,13,1,6,40,26,14,5,22,9,7,1,1,24,9,15,3,18,11,6,0,5,16,17,-1
SC Freiburg,4,37,20,11,4,5,32,31,1,3,23,10,7,2,1,18,8,10,7,14,10,4,2,4,14,23,-9
RB Leipzig,5,36,20,10,6,4,40,26,14,1,23,10,7,2,1,23,9,14,8,13,10,3,4,3,17,17,0
Eintracht Frankfurt,6,35,20,10,5,5,40,29,11,6,19,10,6,1,3,24,13,11,4,16,10,4,4,2,16,16,0
VfL Wolfsburg,7,30,20,8,6,6,38,26,12,10,15,9,4,3,2,23,14,9,5,15,11,4,3,4,15,12,3
Bayer Leverkusen,8,27,20,8,3,9,33,32,1,11,14,10,4,2,4,19,13,6,9,13,10,4,1,5,14,19,-5
Werder Bremen,9,27,20,8,3,9,31,39,-8,13,13,11,4,1,6,17,18,-1,6,14,9,4,2,3,14,21,-7
"M&ouml;nchengladbach",10,26,20,7,5,8,35,33,2,7,19,10,6,1,3,22,13,9,14,7,10,1,4,5,13,20,-7
"1. FC K&ouml;ln",11,26,20,6,8,6,32,31,1,8,18,10,5,3,2,21,10,11,13,8,10,1,5,4,11,21,-10
FSV Mainz 05,12,26,20,7,5,8,30,32,-2,12,13,10,3,4,3,17,14,3,10,13,10,4,1,5,13,18,-5
FC Augsburg,13,21,20,6,3,11,25,36,-11,17,11,10,3,2,5,9,15,-6,11,10,10,3,1,6,16,21,-5
1899 Hoffenheim,14,19,20,5,4,11,29,39,-10,16,11,11,3,2,6,15,21,-6,12,8,9,2,2,5,14,18,-4
VfL Bochum,15,19,20,6,1,13,24,49,-25,9,16,9,5,1,3,17,17,0,18,3,11,1,0,10,7,32,-25
Hertha BSC Berlin,16,17,20,4,5,11,24,36,-12,14,13,11,3,4,4,16,19,-3,15,4,9,1,1,7,8,17,-9
VfB Stuttgart,17,16,20,3,7,10,23,36,-13,15,12,10,3,3,4,12,13,-1,16,4,10,0,4,6,11,23,-12
FC Schalke 04,18,12,20,2,6,12,14,41,-27,18,9,11,2,3,6,10,25,-15,17,3,9,0,3,6,4,16,-12
