,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Borussia Dortmund,1,53,25,17,2,6,55,31,24,1,31,12,10,1,1,36,12,24,2,22,13,7,1,5,19,19,0
Bayern Munich,2,52,25,15,7,3,72,27,45,3,28,12,8,4,0,39,11,28,1,24,13,7,3,3,33,16,17
Union Berlin,3,48,25,14,6,5,38,28,10,4,28,12,8,4,0,21,8,13,4,20,13,6,2,5,17,20,-3
SC Freiburg,4,46,25,13,7,5,38,34,4,5,27,12,8,3,1,21,10,11,5,19,13,5,4,4,17,24,-7
RB Leipzig,5,45,25,13,6,6,49,30,19,2,29,12,9,2,1,28,10,18,9,16,13,4,4,5,21,20,1
Eintracht Frankfurt,6,40,25,11,7,7,46,36,10,7,23,12,7,2,3,27,14,13,6,17,13,4,5,4,19,22,-3
VfL Wolfsburg,7,38,25,10,8,7,44,32,12,13,17,12,4,5,3,26,20,6,3,21,13,6,3,4,18,12,6
Bayer Leverkusen,8,37,25,11,4,10,45,40,5,8,20,13,6,2,5,27,18,9,7,17,12,5,2,5,18,22,-4
FSV Mainz 05,9,37,25,10,7,8,40,36,4,9,20,13,5,5,3,23,15,8,8,17,12,5,2,5,17,21,-4
"M&ouml;nchengladbach",10,31,25,8,7,10,40,44,-4,6,24,13,7,3,3,27,17,10,15,7,12,1,4,7,13,27,-14
Werder Bremen,11,31,25,9,4,12,39,48,-9,15,16,13,5,1,7,22,21,1,10,15,12,4,3,5,17,27,-10
FC Augsburg,12,28,25,8,4,13,32,45,-13,12,18,13,5,3,5,13,17,-4,11,10,12,3,1,8,19,28,-9
"1. FC K&ouml;ln",13,27,25,6,9,10,33,44,-11,11,18,12,5,3,4,21,14,7,12,9,13,1,6,6,12,30,-18
VfL Bochum,14,25,25,8,1,16,27,56,-29,10,19,12,6,1,5,18,21,-3,16,6,13,2,0,11,9,35,-26
1899 Hoffenheim,15,22,25,6,4,15,33,45,-12,17,14,13,4,2,7,18,23,-5,13,8,12,2,2,8,15,22,-7
Hertha BSC Berlin,16,21,25,5,6,14,30,48,-18,14,17,13,4,5,4,19,20,-1,18,4,12,1,1,10,11,28,-17
FC Schalke 04,17,21,25,4,9,12,21,45,-24,18,13,13,3,4,6,14,28,-14,14,8,12,1,5,6,7,17,-10
VfB Stuttgart,18,20,25,4,8,13,29,42,-13,16,15,13,4,3,6,16,16,0,17,5,12,0,5,7,13,26,-13
