,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Burnley,1,83,37,24,11,2,74,29,45,1,47,19,14,5,0,43,13,30,1,36,18,10,6,2,31,16,15
Sheffield United,2,70,37,21,7,9,58,33,25,4,36,18,11,3,4,35,17,18,3,34,19,10,4,5,23,16,7
Middlesbrough,3,67,38,20,7,11,69,42,27,3,39,19,11,6,2,36,14,22,7,28,19,9,1,9,33,28,5
Luton Town,4,64,38,17,13,8,46,35,11,11,29,19,7,8,4,24,19,5,2,35,19,10,5,4,22,16,6
Blackburn Rovers,5,61,37,19,4,14,43,42,1,2,40,18,13,1,4,25,14,11,14,21,19,6,3,10,18,28,-10
Millwall,6,60,38,17,9,12,48,40,8,5,35,19,10,5,4,29,17,12,9,25,19,7,4,8,19,23,-4
Norwich City,7,57,38,16,9,13,52,41,11,12,28,19,8,4,7,27,22,5,6,29,19,8,5,6,25,19,6
Coventry City,8,57,38,15,12,11,47,37,10,9,33,19,9,6,4,24,17,7,10,24,19,6,6,7,23,20,3
West Bromwich Albion,9,55,37,15,10,12,47,39,8,6,35,19,10,5,4,26,15,11,15,20,18,5,5,8,21,24,-3
Watford,10,55,38,14,13,11,45,40,5,8,33,19,9,6,4,28,17,11,12,22,19,5,7,7,17,23,-6
Sunderland,11,53,38,14,11,13,53,46,7,16,24,19,6,6,7,24,25,-1,5,29,19,8,5,6,29,21,8
Preston North End,12,53,38,14,11,13,34,43,-9,23,21,19,5,6,8,14,22,-8,4,32,19,9,5,5,20,21,-1
Stoke City,13,48,38,13,9,16,48,45,3,18,23,19,6,5,8,23,21,2,8,25,19,7,4,8,25,24,1
Bristol City,14,48,38,12,12,14,45,46,-1,10,29,19,8,5,6,24,18,6,17,19,19,4,7,8,21,28,-7
Hull City,15,47,38,12,11,15,43,53,-10,15,25,19,7,4,8,21,26,-5,11,22,19,5,7,7,22,27,-5
Swansea City,16,46,38,12,10,16,51,57,-6,13,27,19,8,3,8,30,28,2,18,19,19,4,7,8,21,29,-8
Birmingham City,17,45,38,12,9,17,42,50,-8,19,23,19,6,5,8,22,21,1,13,22,19,6,4,9,20,29,-9
Reading,18,45,38,13,6,19,40,58,-18,7,34,19,10,4,5,28,21,7,24,11,19,3,2,14,12,37,-25
Queens Park Rangers,19,42,38,11,9,18,38,59,-21,21,22,19,6,4,9,20,27,-7,16,20,19,5,5,9,18,32,-14
Rotherham United,20,40,37,9,13,15,41,51,-10,14,26,18,7,5,6,30,23,7,22,14,19,2,8,9,11,28,-17
Cardiff City,21,39,37,10,9,18,28,41,-13,17,24,19,6,6,7,16,17,-1,20,15,18,4,3,11,12,24,-12
Huddersfield Town,22,36,38,9,9,20,32,53,-21,20,23,19,6,5,8,17,21,-4,23,13,19,3,4,12,15,32,-17
Blackpool,23,35,38,8,11,19,40,58,-18,22,21,19,5,6,8,24,26,-2,21,14,19,3,5,11,16,32,-16
Wigan Athletic,24,31,38,7,13,18,33,59,-26,24,15,19,3,6,10,14,32,-18,19,19,19,4,7,8,19,27,-8
