,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Barcelona,1,59,23,19,2,2,45,8,37,1,29,11,9,2,0,24,1,23,1,30,12,10,0,2,21,7,14
Real Madrid,2,52,23,16,4,3,47,18,29,2,25,11,7,4,0,23,8,15,2,27,12,9,0,3,24,10,14
Real Sociedad,3,43,23,13,4,6,32,23,9,11,18,11,5,3,3,13,12,1,3,25,12,8,1,3,19,11,8
"Atl&eacute;tico Madrid",4,42,23,12,6,5,32,18,14,9,18,11,5,3,3,16,10,6,4,24,12,7,3,2,16,8,8
Betis,5,40,23,12,4,7,32,25,7,7,20,11,6,2,3,18,12,6,5,20,12,6,2,4,14,13,1
Rayo Vallecano,6,34,23,9,7,7,29,25,4,10,18,11,5,3,3,16,12,4,6,16,12,4,4,4,13,13,0
Villarreal,7,34,23,10,4,9,26,23,3,3,22,11,7,1,3,16,9,7,10,12,12,3,3,6,10,14,-4
Osasuna,8,33,23,9,6,8,22,23,-1,12,18,11,6,0,5,12,11,1,7,15,12,3,6,3,10,12,-2
Athletic,9,32,23,9,5,9,33,26,7,6,20,12,6,2,4,18,10,8,9,12,11,3,3,5,15,16,-1
Mallorca,10,31,23,9,4,10,21,24,-3,8,20,11,6,2,3,12,8,4,11,11,12,3,2,7,9,16,-7
Girona,11,30,23,8,6,9,36,35,1,5,21,12,6,3,3,23,17,6,14,9,11,2,3,6,13,18,-5
Espanyol,12,27,23,6,9,8,29,34,-5,19,13,12,3,4,5,16,20,-4,8,14,11,3,5,3,13,14,-1
Celta Vigo,13,27,23,7,6,10,26,34,-8,16,16,12,4,4,4,16,14,2,12,11,11,3,2,6,10,20,-10
Sevilla,14,25,23,6,7,10,26,33,-7,17,15,12,4,3,5,14,15,-1,13,10,11,2,4,5,12,18,-6
"Almer&iacute;a",15,25,23,7,4,12,28,40,-12,4,22,12,7,1,4,20,15,5,19,3,11,0,3,8,8,25,-17
Cadiz,16,25,23,6,7,10,18,35,-17,15,17,12,4,5,3,12,15,-3,16,8,11,2,2,7,6,20,-14
Valladolid,17,24,23,7,3,13,16,33,-17,14,17,11,5,2,4,9,9,0,17,7,12,2,1,9,7,24,-17
Valencia,18,23,23,6,5,12,27,27,0,13,17,12,5,2,5,19,12,7,18,6,11,1,3,7,8,15,-7
Getafe,19,22,23,5,7,11,20,30,-10,18,13,12,3,4,5,11,14,-3,15,9,11,2,3,6,9,16,-7
Elche,20,9,23,1,6,16,17,48,-31,20,6,12,1,3,8,10,20,-10,20,3,11,0,3,8,7,28,-21
