,Total,,,,,,,,,Home,,,,,,,,,Away,,,,,,,,
Team,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD,Rank,P,M,W,D,L,G,GA,GD
Burnley,1,76,34,22,10,2,68,28,40,1,44,18,13,5,0,40,13,27,1,32,16,9,5,2,28,15,13
Sheffield United,2,64,33,19,7,7,55,30,25,2,36,17,11,3,3,35,16,19,3,28,16,8,4,4,20,14,6
Middlesbrough,3,57,34,17,6,11,56,40,16,5,32,16,9,5,2,26,13,13,6,25,18,8,1,9,30,27,3
Blackburn Rovers,4,55,34,17,4,13,38,38,0,3,34,16,11,1,4,22,13,9,11,21,18,6,3,9,16,25,-9
Millwall,5,54,34,15,9,10,43,35,8,6,32,16,9,5,2,25,12,13,8,22,18,6,4,8,18,23,-5
Luton Town,6,54,34,14,12,8,42,34,8,15,23,17,5,8,4,22,19,3,2,31,17,9,4,4,20,15,5
Norwich City,7,52,34,15,7,12,48,37,11,10,28,18,8,4,6,27,21,6,7,24,16,7,3,6,21,16,5
Watford,8,50,34,13,11,10,41,38,3,9,28,16,8,4,4,24,16,8,9,22,18,5,7,6,17,22,-5
Sunderland,9,49,34,13,10,11,49,38,11,14,23,16,6,5,5,21,17,4,5,26,18,7,5,6,28,21,7
Coventry City,10,49,34,13,10,11,37,34,3,7,32,18,9,5,4,23,16,7,19,17,16,4,5,7,14,18,-4
West Bromwich Albion,11,48,33,13,9,11,44,36,8,8,29,17,8,5,4,24,15,9,14,19,16,5,4,7,20,21,-1
Preston North End,12,46,34,12,10,12,30,38,-8,22,18,18,4,6,8,12,22,-10,4,28,16,8,4,4,18,16,2
Bristol City,13,44,33,11,11,11,43,41,2,11,26,18,7,5,6,22,18,4,16,18,15,4,6,5,21,23,-2
Reading,14,44,33,13,5,15,38,48,-10,4,33,16,10,3,3,27,18,9,23,11,17,3,2,12,11,30,-19
Swansea City,15,43,34,11,10,13,47,51,-4,12,24,17,7,3,7,27,25,2,15,19,17,4,7,6,20,26,-6
Hull City,16,42,34,11,9,14,38,48,-10,16,22,17,6,4,7,18,23,-5,12,20,17,5,5,7,20,25,-5
Stoke City,17,40,34,11,7,16,39,41,-2,20,19,17,5,4,8,20,19,1,10,21,17,6,3,8,19,22,-3
Queens Park Rangers,18,39,34,10,9,15,35,49,-14,21,19,17,5,4,8,19,26,-7,13,20,17,5,5,7,16,23,-7
Birmingham City,19,38,34,10,8,16,38,46,-8,18,20,18,5,5,8,20,21,-1,18,18,16,5,3,8,18,25,-7
Rotherham United,20,37,34,8,13,13,37,46,-9,13,23,16,6,5,5,26,20,6,22,14,18,2,8,8,11,26,-15
Cardiff City,21,35,34,9,8,17,25,38,-13,19,20,17,5,5,7,13,16,-3,20,15,17,4,3,10,12,22,-10
Huddersfield Town,22,31,33,8,7,18,30,47,-17,17,21,16,6,3,7,16,16,0,24,10,17,2,4,11,14,31,-17
Blackpool,23,31,34,7,10,17,33,51,-18,23,17,16,4,5,7,17,21,-4,21,14,18,3,5,10,16,30,-14
Wigan Athletic,24,31,33,7,10,16,30,52,-22,24,13,17,3,4,10,12,30,-18,17,18,16,4,6,6,18,22,-4
